edad,id,nombre,label,valorAsegurado,primaAnual,primaSemestral
,55,Opción 55,Opción 55,$400.000.000,$2.683.800,$1.397.400
,56,Opción 56,Opción 56,$500.000.000,$3.354.700,$1.746.800
27,50,Opción 50,Opción 50,$50.000.000,$337.000,$175.500
,46,Opción 46,Opción 46,$100.000.000,$674.100,$351.000
,51,Opción 51,Opción 51,$150.000.000,$1.011.200,$526.500
,52,Opción 52,Opción 52,$200.000.000,$1.348.300,$702.000
,53,Opción 53,Opción 53,$250.000.000,$1.685.400,$877.600
,54,Opción 54,Opción 54,$300.000.000,$2.022.500,$1.053.100
,55,Opción 55,Opción 55,$400.000.000,$2.696.700,$1.404.100
,56,Opción 56,Opción 56,$500.000.000,$3.370.800,$1.755.200
28,50,Opción 50,Opción 50,$50.000.000,$338.100,$176.000
,46,Opción 46,Opción 46,$100.000.000,$676.300,$352.100
,51,Opción 51,Opción 51,$150.000.000,$1.014.400,$528.200
,52,Opción 52,Opción 52,$200.000.000,$1.352.600,$704.300
,53,Opción 53,Opción 53,$250.000.000,$1.690.800,$880.400
,54,Opción 54,Opción 54,$300.000.000,$2.028.900,$1.056.400
,55,Opción 55,Opción 55,$400.000.000,$2.705.300,$1.408.600
,56,Opción 56,Opción 56,$500.000.000,$3.381.600,$1.760.800
29,50,Opción 50,Opción 50,$50.000.000,$339.700,$176.900
,46,Opción 46,Opción 46,$100.000.000,$679.500,$353.800
,51,Opción 51,Opción 51,$150.000.000,$1.019.300,$530.700
,52,Opción 52,Opción 52,$200.000.000,$1.359.100,$707.600
,53,Opción 53,Opción 53,$250.000.000,$1.698.800,$884.600
,54,Opción 54,Opción 54,$300.000.000,$2.038.600,$1.061.500
,55,Opción 55,Opción 55,$400.000.000,$2.718.200,$1.415.300
,56,Opción 56,Opción 56,$500.000.000,$3.397.700,$1.769.200
30,50,Opción 50,Opción 50,$50.000.000,$341.300,$177.700
,46,Opción 46,Opción 46,$100.000.000,$682.700,$355.500
,51,Opción 51,Opción 51,$150.000.000,$1.024.100,$533.200
,52,Opción 52,Opción 52,$200.000.000,$1.365.500,$711.000
,53,Opción 53,Opción 53,$250.000.000,$1.706.900,$888.800
,54,Opción 54,Opción 54,$300.000.000,$2.048.300,$1.066.500
,55,Opción 55,Opción 55,$400.000.000,$2.731.100,$1.422.000
,56,Opción 56,Opción 56,$500.000.000,$3.413.800,$1.777.600
31,50,Opción 50,Opción 50,$50.000.000,$343.500,$178.800
,46,Opción 46,Opción 46,$100.000.000,$687.000,$357.700
,51,Opción 51,Opción 51,$150.000.000,$1.030.600,$536.600
,52,Opción 52,Opción 52,$200.000.000,$1.374.100,$715.500
,53,Opción 53,Opción 53,$250.000.000,$1.717.600,$894.400
,54,Opción 54,Opción 54,$300.000.000,$2.061.200,$1.073.200
,55,Opción 55,Opción 55,$400.000.000,$2.748.300,$1.431.000
,56,Opción 56,Opción 56,$500.000.000,$3.435.300,$1.788.800
32,50,Opción 50,Opción 50,$50.000.000,$345.100,$179.700
,46,Opción 46,Opción 46,$100.000.000,$690.300,$359.400
,51,Opción 51,Opción 51,$150.000.000,$1.035.400,$359.400
,52,Opción 52,Opción 52,$200.000.000,$1.380.600,$718.800
,53,Opción 53,Opción 53,$250.000.000,$1.725.700,$898.600
,54,Opción 54,Opción 54,$300.000.000,$2.070.900,$1.078.300
,55,Opción 55,Opción 55,$400.000.000,$2.761.200,$1.437.700
,56,Opción 56,Opción 56,$500.000.000,$3.451.500,$1.797.100
33,50,Opción 50,Opción 50,$50.000.000,$347.800,$181.100
,46,Opción 46,Opción 46,$100.000.000,$695.600,$362.200
,51,Opción 51,Opción 51,$150.000.000,$1.043.500,$543.300
,52,Opción 52,Opción 52,$200.000.000,$1.391.300,$724.400
,53,Opción 53,Opción 53,$250.000.000,$1.739.100,$905.500
,54,Opción 54,Opción 54,$300.000.000,$2.087.000,$1.086.700
,55,Opción 55,Opción 55,$400.000.000,$2.782.700,$1.448.900
,56,Opción 56,Opción 56,$500.000.000,$3.478.300,$1.811.100
34,50,Opción 50,Opción 50,$50.000.000,$349.400,$181.900
,46,Opción 46,Opción 46,$100.000.000,$698.900,$363.900
,51,Opción 51,Opción 51,$150.000.000,$1.048.300,$545.800
,52,Opción 52,Opción 52,$200.000.000,$1.397.800,$727.800
,53,Opción 53,Opción 53,$250.000.000,$1.747.200,$909.700
,54,Opción 54,Opción 54,$300.000.000,$2.096.700,$1.091.700
,55,Opción 55,Opción 55,$400.000.000,$2.795.600,$1.455.600
,56,Opción 56,Opción 56,$500.000.000,$3.494.500,$1.819.500
35,50,Opción 50,Opción 50,$50.000.000,$350.500,$182.500
,46,Opción 46,Opción 46,$100.000.000,$701.000,$365.000
,51,Opción 51,Opción 51,$150.000.000,$1.051.500,$547.500
,52,Opción 52,Opción 52,$200.000.000,$1.402.100,$730.000
,53,Opción 53,Opción 53,$250.000.000,$1.752.600,$912.500
,54,Opción 54,Opción 54,$300.000.000,$2.103.100,$1.095.100
,55,Opción 55,Opción 55,$400.000.000,$2.804.200,$1.460.100
,56,Opción 56,Opción 56,$500.000.000,$3.505.200,$1.825.100
36,50,Opción 50,Opción 50,$50.000.000,$352.100,$183.300
,46,Opción 46,Opción 46,$100.000.000,$704.200,$366.700
,51,Opción 51,Opción 51,$150.000.000,$1.056.400,$550.000
,52,Opción 52,Opción 52,$200.000.000,$1.408.500,$733.400
,53,Opción 53,Opción 53,$250.000.000,$1.760.600,$916.700
,54,Opción 54,Opción 54,$300.000.000,$2.112.800,$1.100.100
,55,Opción 55,Opción 55,$400.000.000,$2.817.100,$1.466.800
,56,Opción 56,Opción 56,$500.000.000,$3.521.300,$1.833.500
37,50,Opción 50,Opción 50,$50.000.000,$354.800,$184.700
,46,Opción 46,Opción 46,$100.000.000,$709.600,$369.500
,51,Opción 51,Opción 51,$150.000.000,$1.064.400,$554.200
,52,Opción 52,Opción 52,$200.000.000,$1.419.300,$739.000
,53,Opción 53,Opción 53,$250.000.000,$1.774.100,$923.700
,54,Opción 54,Opción 54,$300.000.000,$2.128.900,$1.108.500
,55,Opción 55,Opción 55,$400.000.000,$2.838.600,$1.478.000
,56,Opción 56,Opción 56,$500.000.000,$3.548.200,$1.847.500
38,50,Opción 50,Opción 50,$50.000.000,$358.000,$186.400
,46,Opción 46,Opción 46,$100.000.000,$716.100,$372.800
,51,Opción 51,Opción 51,$150.000.000,$1.074.100,$559.300
,52,Opción 52,Opción 52,$200.000.000,$1.432.200,$745.700
,53,Opción 53,Opción 53,$250.000.000,$1.790.200,$932.100
,54,Opción 54,Opción 54,$300.000.000,$2.148.300,$1.118.600
,55,Opción 55,Opción 55,$400.000.000,$2.864.400,$1.491.400
,56,Opción 56,Opción 56,$500.000.000,$3.580.500,$1.864.300
39,50,Opción 50,Opción 50,$50.000.000,$361.200,$188.100
,46,Opción 46,Opción 46,$100.000.000,$722.500,$376.200
,51,Opción 51,Opción 51,$150.000.000,$1.083.800,$564.300
,52,Opción 52,Opción 52,$200.000.000,$1.445.100,$752.400
,53,Opción 53,Opción 53,$250.000.000,$1.806.300,$940.500
,54,Opción 54,Opción 54,$300.000.000,$2.167.600,$1.128.600
,55,Opción 55,Opción 55,$400.000.000,$2.890.200,$1.504.900
,56,Opción 56,Opción 56,$500.000.000,$3.612.700,$1.881.100
40,50,Opción 50,Opción 50,$50.000.000,$365.500,$190.300
,46,Opción 46,Opción 46,$100.000.000,$731.100,$380.700
,51,Opción 51,Opción 51,$150.000.000,$1.096.700,$571.000
,52,Opción 52,Opción 52,$200.000.000,$1.462.300,$761.400
,53,Opción 53,Opción 53,$250.000.000,$1.827.800,$951.700
,54,Opción 54,Opción 54,$300.000.000,$2.193.400,$1.142.100
,55,Opción 55,Opción 55,$400.000.000,$2.924.600,$1.522.800
,56,Opción 56,Opción 56,$500.000.000,$3.655.700,$1.903.500
41,50,Opción 50,Opción 50,$50.000.000,$370.400,$192.800
,46,Opción 46,Opción 46,$100.000.000,$740.800,$385.700
,51,Opción 51,Opción 51,$150.000.000,$1.111.200,$578.600
,52,Opción 52,Opción 52,$200.000.000,$1.481.600,$771.400
,53,Opción 53,Opción 53,$250.000.000,$1.852.000,$964.300
,54,Opción 54,Opción 54,$300.000.000,$2.222.400,$1.157.200
,55,Opción 55,Opción 55,$400.000.000,$2.963.300,$1.542.900
,56,Opción 56,Opción 56,$500.000.000,$3.704.100,$1.928.700
42,50,Opción 50,Opción 50,$50.000.000,$376.800,$196.200
,46,Opción 46,Opción 46,$100.000.000,$753.700,$392.400
,51,Opción 51,Opción 51,$150.000.000,$1.130.500,$588.600
,52,Opción 52,Opción 52,$200.000.000,$1.507.400,$784.900
,53,Opción 53,Opción 53,$250.000.000,$1.884.300,$981.100
,54,Opción 54,Opción 54,$300.000.000,$2.261.100,$1.177.300
,55,Opción 55,Opción 55,$400.000.000,$3.014.900,$1.569.800
,56,Opción 56,Opción 56,$500.000.000,$3.768.600,$1.962.300
43,50,Opción 50,Opción 50,$50.000.000,$386.500,$201.200
,46,Opción 46,Opción 46,$100.000.000,$773.000,$402.500
,51,Opción 51,Opción 51,$150.000.000,$1.159.600,$603.800
,52,Opción 52,Opción 52,$200.000.000,$1.546.100,$805.000
,53,Opción 53,Opción 53,$250.000.000,$1.932.600,$1.006.300
,54,Opción 54,Opción 54,$300.000.000,$2.319.200,$1.207.600
,55,Opción 55,Opción 55,$400.000.000,$3.092.300,$1.610.100
,56,Opción 56,Opción 56,$500.000.000,$3.865.300,$2.012.700
44,50,Opción 50,Opción 50,$50.000.000,$398.300,$207.400
,46,Opción 46,Opción 46,$100.000.000,$796.700,$414.800
,51,Opción 51,Opción 51,$150.000.000,$1.195.000,$622.200
,52,Opción 52,Opción 52,$200.000.000,$1.593.400,$829.700
,53,Opción 53,Opción 53,$250.000.000,$1.991.800,$1.037.100
,54,Opción 54,Opción 54,$300.000.000,$2.390.100,$1.244.500
,55,Opción 55,Opción 55,$400.000.000,$3.186.900,$1.659.400
,56,Opción 56,Opción 56,$500.000.000,$3.983.600,$2.074.200
45,50,Opción 50,Opción 50,$50.000.000,$414.400,$215.800
,46,Opción 46,Opción 46,$100.000.000,$828.900,$431.600
,51,Opción 51,Opción 51,$150.000.000,$1.243.400,$647.400
,52,Opción 52,Opción 52,$200.000.000,$1.657.900,$863.200
,53,Opción 53,Opción 53,$250.000.000,$2.072.400,$1.079.100
,54,Opción 54,Opción 54,$300.000.000,$2.486.900,$1.294.900
,55,Opción 55,Opción 55,$400.000.000,$3.315.900,$1.726.500
,56,Opción 56,Opción 56,$500.000.000,$4.144.800,$2.158.200
46,50,Opción 50,Opción 50,$50.000.000,$435.400,$226.700
,46,Opción 46,Opción 46,$100.000.000,$870.900,$453.400
,51,Opción 51,Opción 51,$150.000.000,$1.306.300,$680.200
,52,Opción 52,Opción 52,$200.000.000,$1.741.800,$906.900
,53,Opción 53,Opción 53,$250.000.000,$2.177.200,$1.133.600
,54,Opción 54,Opción 54,$300.000.000,$2.612.700,$1.360.400
,55,Opción 55,Opción 55,$400.000.000,$3.483.600,$1.813.900
,56,Opción 56,Opción 56,$500.000.000,$4.354.500,$2.267.300
47,50,Opción 50,Opción 50,$50.000.000,$462.800,$241.000
,46,Opción 46,Opción 46,$100.000.000,$925.700,$482.000
,51,Opción 51,Opción 51,$150.000.000,$1.388.500,$723.000
,52,Opción 52,Opción 52,$200.000.000,$1.851.400,$964.000
,53,Opción 53,Opción 53,$250.000.000,$2.314.300,$1.205.000
,54,Opción 54,Opción 54,$300.000.000,$2.777.100,$1.446.000
,55,Opción 55,Opción 55,$400.000.000,$3.702.900,$1.928.100
,56,Opción 56,Opción 56,$500.000.000,$4.628.600,$2.410.100
48,50,Opción 50,Opción 50,$50.000.000,$496.700,$258.600
,46,Opción 46,Opción 46,$100.000.000,$993.400,$517.200
,51,Opción 51,Opción 51,$150.000.000,$1.490.100,$775.900
,52,Opción 52,Opción 52,$200.000.000,$1.986.900,$1.034.500
,53,Opción 53,Opción 53,$250.000.000,$2.483.600,$1.293.200
,54,Opción 54,Opción 54,$300.000.000,$2.980.300,$1.551.800
,55,Opción 55,Opción 55,$400.000.000,$3.973.800,$2.069.100
,56,Opción 56,Opción 56,$500.000.000,$4.967.200,$2.586.400
49,50,Opción 50,Opción 50,$50.000.000,$534.300,$278.200
,46,Opción 46,Opción 46,$100.000.000,$1.068.700,$556.400
,51,Opción 51,Opción 51,$150.000.000,$1.603.000,$834.700
,52,Opción 52,Opción 52,$200.000.000,$2.137.400,$1.112.900
,53,Opción 53,Opción 53,$250.000.000,$2.671.700,$1.391.100
,54,Opción 54,Opción 54,$300.000.000,$3.206.100,$1.669.400
,55,Opción 55,Opción 55,$400.000.000,$4.274.800,$2.225.800
,56,Opción 56,Opción 56,$500.000.000,$5.343.500,$2.782.300
50,50,Opción 50,Opción 50,$50.000.000,$576.200,$300.000
,46,Opción 46,Opción 46,$100.000.000,$1.152.500,$600.100
,51,Opción 51,Opción 51,$150.000.000,$1.728.800,$900.200
,52,Opción 52,Opción 52,$200.000.000,$2.305.100,$1.200.200
,53,Opción 53,Opción 53,$250.000.000,$2.881.300,$1.500.300
,54,Opción 54,Opción 54,$300.000.000,$3.457.600,$1.800.400
,55,Opción 55,Opción 55,$400.000.000,$4.610.200,$2.400.500
,56,Opción 56,Opción 56,$500.000.000,$5.762.700,$3.000.600
51,50,Opción 50,Opción 50,$50.000.000,$619.800,$322.700
,46,Opción 46,Opción 46,$100.000.000,$1.239.600,$645.400
,51,Opción 51,Opción 51,$150.000.000,$1.859.400,$968.200
,52,Opción 52,Opción 52,$200.000.000,$2.479.200,$1.290.900
,53,Opción 53,Opción 53,$250.000.000,$3.099.000,$1.613.600
,54,Opción 54,Opción 54,$300.000.000,$3.718.800,$1.936.400
,55,Opción 55,Opción 55,$400.000.000,$4.958.500,$2.581.800
,56,Opción 56,Opción 56,$500.000.000,$6.198.100,$3.227.300
52,50,Opción 50,Opción 50,$50.000.000,$663.300,$345.400
,46,Opción 46,Opción 46,$100.000.000,$1.326.700,$690.800
,51,Opción 51,Opción 51,$150.000.000,$1.990.000,$1.036.200
,52,Opción 52,Opción 52,$200.000.000,$2.653.400,$1.381.600
,53,Opción 53,Opción 53,$250.000.000,$3.316.700,$1.727.000
,54,Opción 54,Opción 54,$300.000.000,$3.980.100,$2.072.400
,55,Opción 55,Opción 55,$400.000.000,$5.306.800,$2.763.200
,56,Opción 56,Opción 56,$500.000.000,$6.633.500,$3.454.000
53,50,Opción 50,Opción 50,$50.000.000,$704.700,$366.900
,46,Opción 46,Opción 46,$100.000.000,$1.409.400,$733.900
,51,Opción 51,Opción 51,$150.000.000,$2.114.200,$1.100.800
,52,Opción 52,Opción 52,$200.000.000,$2.818.900,$1.467.800
,53,Opción 53,Opción 53,$250.000.000,$3.523.600,$1.834.700
,54,Opción 54,Opción 54,$300.000.000,$4.228.400,$2.201.700
,55,Opción 55,Opción 55,$400.000.000,$5.637.900,$2.935.600
,56,Opción 56,Opción 56,$500.000.000,$7.047.300,$3.669.500
54,50,Opción 50,Opción 50,$50.000.000,$742.900,$386.800
,46,Opción 46,Opción 46,$100.000.000,$1.485.800,$773.600
,51,Opción 51,Opción 51,$150.000.000,$2.228.700,$1.160.400
,52,Opción 52,Opción 52,$200.000.000,$2.971.600,$1.547.300
,53,Opción 53,Opción 53,$250.000.000,$3.714.500,$1.934.100
,54,Opción 54,Opción 54,$300.000.000,$4.457.400,$2.320.900
,55,Opción 55,Opción 55,$400.000.000,$5.943.200,$3.094.600
,56,Opción 56,Opción 56,$500.000.000,$7.429.000,$3.868.200
55,50,Opción 50,Opción 50,$50.000.000,$775.600,$403.900
,46,Opción 46,Opción 46,$100.000.000,$1.551.300,$807.800
,51,Opción 51,Opción 51,$150.000.000,$2.327.000,$1.211.700
,52,Opción 52,Opción 52,$200.000.000,$3.102.700,$1.615.600
,53,Opción 53,Opción 53,$250.000.000,$3.878.400,$2.019.500
,54,Opción 54,Opción 54,$300.000.000,$4.654.100,$2.423.400
,55,Opción 55,Opción 55,$400.000.000,$6.205.500,$3.231.200
,56,Opción 56,Opción 56,$500.000.000,$7.756.800,$4.039.000
56,50,Opción 50,Opción 50,$50.000.000,$801.400,$417.300
,46,Opción 46,Opción 46,$100.000.000,$1.602.900,$834.600
,51,Opción 51,Opción 51,$150.000.000,$2.404.400,$1.252.000
,52,Opción 52,Opción 52,$200.000.000,$3.205.900,$1.669.300
,53,Opción 53,Opción 53,$250.000.000,$4.007.400,$2.086.600
,54,Opción 54,Opción 54,$300.000.000,$4.808.900,$2.504.000
,55,Opción 55,Opción 55,$400.000.000,$6.411.900,$3.338.600
,56,Opción 56,Opción 56,$500.000.000,$8.014.800,$4.173.300
57,50,Opción 50,Opción 50,$50.000.000,$821.300,$427.600
,46,Opción 46,Opción 46,$100.000.000,$1.642.700,$855.300
,51,Opción 51,Opción 51,$150.000.000,$2.464.100,$1.283.000
,52,Opción 52,Opción 52,$200.000.000,$3.285.500,$1.710.700
,53,Opción 53,Opción 53,$250.000.000,$4.106.800,$2.138.400
,54,Opción 54,Opción 54,$300.000.000,$4.928.200,$2.566.100
,55,Opción 55,Opción 55,$400.000.000,$6.571.000,$3.421.500
,56,Opción 56,Opción 56,$500.000.000,$8.213.700,$4.276.900
58,50,Opción 50,Opción 50,$50.000.000,$841.200,$438.000
,46,Opción 46,Opción 46,$100.000.000,$1.682.500,$876.000
,51,Opción 51,Opción 51,$150.000.000,$2.523.700,$1.314.100
,52,Opción 52,Opción 52,$200.000.000,$3.365.000,$1.752.100
,53,Opción 53,Opción 53,$250.000.000,$4.206.300,$2.190.200
,54,Opción 54,Opción 54,$300.000.000,$5.047.500,$2.628.200
,55,Opción 55,Opción 55,$400.000.000,$6.730.100,$3.504.300
,56,Opción 56,Opción 56,$500.000.000,$8.412.600,$4.380.400
59,50,Opción 50,Opción 50,$50.000.000,$869.200,$452.600
,46,Opción 46,Opción 46,$100.000.000,$1.738.400,$905.100
,51,Opción 51,Opción 51,$150.000.000,$2.607.600,$1.357.700
,52,Opción 52,Opción 52,$200.000.000,$3.476.800,$1.810.300
,53,Opción 53,Opción 53,$250.000.000,$4.346.000,$2.262.900
,54,Opción 54,Opción 54,$300.000.000,$5.215.200,$2.715.500
,55,Opción 55,Opción 55,$400.000.000,$6.953.700,$3.620.700
,56,Opción 56,Opción 56,$500.000.000,$8.692.100,$4.525.900
60,50,Opción 50,Opción 50,$50.000.000,$913.800,$475.800
,46,Opción 46,Opción 46,$100.000.000,$1.827.600,$951.600
,51,Opción 51,Opción 51,$150.000.000,$2.741.400,$1.427.400
,52,Opción 52,Opción 52,$200.000.000,$3.655.300,$1.903.300
,53,Opción 53,Opción 53,$250.000.000,$4.569.100,$2.379.100
,54,Opción 54,Opción 54,$300.000.000,$5.482.900,$2.854.900
,55,Opción 55,Opción 55,$400.000.000,$7.310.600,$3.806.600
,56,Opción 56,Opción 56,$500.000.000,$9.138.200,$4.758.200
61,50,Opción 50,Opción 50,$50.000.000,$977.700,$509.100
,46,Opción 46,Opción 46,$100.000.000,$1.955.500,$1.018.200
,51,Opción 51,Opción 51,$150.000.000,$2.933.300,$1.527.400
,52,Opción 52,Opción 52,$200.000.000,$3.911.100,$2.036.500
,53,Opción 53,Opción 53,$250.000.000,$4.888.900,$2.545.600
,54,Opción 54,Opción 54,$300.000.000,$5.866.700,$3.054.800
,55,Opción 55,Opción 55,$400.000.000,$7.822.300,$4.073.000
,56,Opción 56,Opción 56,$500.000.000,$9.777.800,$5.091.300
62,50,Opción 50,Opción 50,$50.000.000,$1.058.900,$551.300
,46,Opción 46,Opción 46,$100.000.000,$2.117.900,$1.102.700
,51,Opción 51,Opción 51,$150.000.000,$3.176.800,$1.654.100
,52,Opción 52,Opción 52,$200.000.000,$4.235.800,$2.205.500
,53,Opción 53,Opción 53,$250.000.000,$5.294.700,$2.756.900
,54,Opción 54,Opción 54,$300.000.000,$6.353.700,$3.308.300
,55,Opción 55,Opción 55,$400.000.000,$8.471.600,$4.411.100
,56,Opción 56,Opción 56,$500.000.000,$10.589.500,$5.513.900
63,50,Opción 50,Opción 50,$50.000.000,$1.157.800,$602.800
,46,Opción 46,Opción 46,$100.000.000,$2.315.700,$1.205.700
,51,Opción 51,Opción 51,$150.000.000,$3.473.500,$1.808.600
,52,Opción 52,Opción 52,$200.000.000,$4.631.400,$2.411.500
,53,Opción 53,Opción 53,$250.000.000,$5.789.200,$3.014.400
,54,Opción 54,Opción 54,$300.000.000,$6.947.100,$3.617.300
,55,Opción 55,Opción 55,$400.000.000,$9.262.800,$4.823.100
,56,Opción 56,Opción 56,$500.000.000,$11.578.500,$6.028.900
64,50,Opción 50,Opción 50,$50.000.000,$1.273.400,$663.000
,46,Opción 46,Opción 46,$100.000.000,$2.546.800,$1.326.100
,51,Opción 51,Opción 51,$150.000.000,$3.820.200,$1.989.100
,52,Opción 52,Opción 52,$200.000.000,$5.093.600,$2.652.200
,53,Opción 53,Opción 53,$250.000.000,$6.367.000,$3.315.300
,54,Opción 54,Opción 54,$300.000.000,$7.640.400,$3.978.300
,55,Opción 55,Opción 55,$400.000.000,$10.187.300,$5.304.500
,56,Opción 56,Opción 56,$500.000.000,$12.734.100,$6.630.600
65,50,Opción 50,Opción 50,$50.000.000,$1.402.400,$730.200
,46,Opción 46,Opción 46,$100.000.000,$2.804.800,$1.460.400
,51,Opción 51,Opción 51,$150.000.000,$4.207.200,$2.190.700
,52,Opción 52,Opción 52,$200.000.000,$5.609.600,$2.920.900
,53,Opción 53,Opción 53,$250.000.000,$7.012.000,$3.651.100
,54,Opción 54,Opción 54,$300.000.000,$8.414.400,$4.381.400
,55,Opción 55,Opción 55,$400.000.000,$11.219.300,$5.841.800
,56,Opción 56,Opción 56,$500.000.000,$14.024.100,$7.302.300
66,50,Opción 50,Opción 50,$50.000.000,$1.545.900,$804.900
,46,Opción 46,Opción 46,$100.000.000,$3.091.800,$1.609.900
,51,Opción 51,Opción 51,$150.000.000,$4.637.700,$2.414.800
,52,Opción 52,Opción 52,$200.000.000,$6.183.700,$3.219.800
,53,Opción 53,Opción 53,$250.000.000,$7.729.600,$4.024.800
,54,Opción 54,Opción 54,$300.000.000,$9.275.500,$4.829.700
,55,Opción 55,Opción 55,$400.000.000,$12.367.400,$6.439.700
,56,Opción 56,Opción 56,$500.000.000,$15.459.200,$8.049.600
67,50,Opción 50,Opción 50,$50.000.000,$1.696.900,$883.600
,46,Opción 46,Opción 46,$100.000.000,$3.393.900,$1.767.200
,51,Opción 51,Opción 51,$150.000.000,$5.090.800,$2.650.800
,52,Opción 52,Opción 52,$200.000.000,$6.787.800,$3.534.400
,53,Opción 53,Opción 53,$250.000.000,$8.484.800,$4.418.000
,54,Opción 54,Opción 54,$300.000.000,$10.181.700,$5.301.600
,55,Opción 55,Opción 55,$400.000.000,$13.575.700,$7.068.800
,56,Opción 56,Opción 56,$500.000.000,$16.969.600,$8.836.000
68,50,Opción 50,Opción 50,$50.000.000,$1.848.500,$962.500
,46,Opción 46,Opción 46,$100.000.000,$3.697.000,$1.925.000
,51,Opción 51,Opción 51,$150.000.000,$5.545.600,$2.887.600
,52,Opción 52,Opción 52,$200.000.000,$7.394.100,$3.850.100
,53,Opción 53,Opción 53,$250.000.000,$9.242.600,$4.812.600
,54,Opción 54,Opción 54,$300.000.000,$11.091.200,$5.775.200
,55,Opción 55,Opción 55,$400.000.000,$14.788.300,$7.700.200
,56,Opción 56,Opción 56,$500.000.000,$18.485.300,$9.625.300
69,50,Opción 50,Opción 50,$50.000.000,$2.001.100,$1.042.000
,46,Opción 46,Opción 46,$100.000.000,$4.002.300,$2.084.000
,51,Opción 51,Opción 51,$150.000.000,$6.003.500,$3.126.000
,52,Opción 52,Opción 52,$200.000.000,$8.004.700,$4.168.000
,53,Opción 53,Opción 53,$250.000.000,$10.005.900,$5.210.000
,54,Opción 54,Opción 54,$300.000.000,$12.007.100,$6.252.100
,55,Opción 55,Opción 55,$400.000.000,$16.009.500,$8.336.100
